124	l8ONfuJo7wg	3411	Core Java With OCJP/SCJP: File I/O  Part- 5||Printwriter-Examples
125	JTdqJ1RC65M	5366	Core Java With OCJP/SCJP: Serialization  Part- 1 || Introduction
126	oEUlY-gFFcU	2626	Core Java With OCJP/SCJP: Serialization  Part- 2||Serialazation in the case of object graphs
127	XmC4bzCDSHc	5097	Core Java With OCJP/SCJP: Serialization  Part- 3||Customized serialization - 1
128	lVIl3wx67ds	1707	Core Java With OCJP/SCJP: Serialization  Part- 4||Customized serialization - 2
129	Y5KXGLbCzbc	3362	Core Java With OCJP/SCJP: Serialization  Part- 5||Inheritance serialization
130	hMJzf0E_ut4	5342	Core Java With OCJP/SCJP: Serialization  Part- 6||Externalization
131	2kGvax307EM	3699	Core Java With OCJP/SCJP: Serialization  Part- 7||SerialVersion UID
132	vftR8LilgMw	3498	Core Java With OCJP/SCJP: RegularExpresions Part-1 || Introduction
133	Wo3wMiDt3a4	3627	Core Java With OCJP/SCJP: RegularExpresions Part-2 || character matching
134	F1BxgMmF6F0	4138	Core Java With OCJP/SCJP: RegularExpresions Part-3 || pattern class
135	IZt3rF8YAEA	3468	Core Java With OCJP/SCJP: RegularExpresions Part-4 || How to use Regular Expresions
136	Bqv4At5vHVQ	3564	Core Java With OCJP/SCJP: Collections Part-1 || Introduction
137	n8RRsB2dP7k	5510	Core Java With OCJP/SCJP: Collections Part-2 || 9key interfaces
138	foi7_Zjbz5c	3655	Core Java With OCJP/SCJP: Collections Part-3 || collection & collections|| list & set
139	LFri78r3zUQ	4019	Core Java With OCJP/SCJP: Collections Part-4 || Array list
140	VmZrSCMkYoY	4717	Core Java With OCJP/SCJP: Collections Part-5 || Difference between Array list & linked list
141	E2uSAGD3-UY	4507	Core Java With OCJP/SCJP: Collections Part-6 ||  limitations of enumerations
142	AooYaSeVuZo	4855	Core Java With OCJP/SCJP: Collections Part-7 || Setinterface||ShortedSet
143	sLW7GufoSXM	4590	Core Java With OCJP/SCJP: Collections Part-8 || TreeSet
144	uu9DHLJVRIs	3898	Core Java With OCJP/SCJP: Collections Part-9 || comparator
145	zHKqmFyuaKI	6608	Core Java With OCJP/SCJP: Collections Part-10 || string object in Treeset Example
146	pSGvbJ7GJ68	5046	Core Java With OCJP/SCJP: Collections Part-11 || Map || Hashmap || linked Hashmap
147	AVdD987trsc	3702	Core Java With OCJP/SCJP: Collections Part-12 || linked Hashmap
148	aOAWzh3BJM4	2533	Core Java With OCJP/SCJP: Collections Part-13 || sortedmap
149	rfpvtTwWFK0	5794	Core Java With OCJP/SCJP: Collections Part-14 || hashtable
150	JOoq94-UQ-A	3446	Core Java With OCJP/SCJP: Collections Part-15 || queue
151	Tk-vLd0zjN0	4183	Core Java With OCJP/SCJP: Collections Part-16 || Navigableset
152	bQkR6N8OUks	3575	Core Java With OCJP/SCJP: Collections Part-17 || searching elements of list
153	2kn8rgNJf3U	4235	Core Java With OCJP/SCJP: Collections Part-18 || Arrays
154	aAvnT3L6Mlo	1095	Core Java With OCJP/SCJP:  Concurrent Collections Part-1 || Need of Concurrent Collections
155	ev8zxzRdsFQ	428	Core Java With OCJP/SCJP: Concurrent Collections Part-2 ||Diff B/WTraditional&Concurrent Collections
156	5Ypy0iQ27gs	884	Core Java With OCJP/SCJP:  Concurrent Collections Part-3 || ConcurrentMap Methods
157	IUo1Ym-Uj_I	1154	Core Java With OCJP/SCJP:  Concurrent Collections Part-4 || ConcurrentHashMap Details
158	y52gqOfral0	274	Core Java With OCJP/SCJP:  Concurrent Collections Part-5 || ConcurrentHashMap Program-1
159	4XfL2wJYLsU	716	Core Java With OCJP/SCJP:  Concurrent Collections Part-6 || ConcurrentHashMap Program-2
160	c6u87_gMBDU	485	CoreJava With OCJP/SCJP:ConcurrentCollectionsPart-7 || HashMap&ConcurrentHashMap
